data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-09-13 20:45:30;25;Rio de Janeiro;Juliana Almeida;Teclado Mecânico HyperX;John Dorsett;masculino;boleto
2024-09-13 21:46:34;26;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Virginia Schrum;feminino;dinheiro
2024-09-13 22:43:38;27;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Ronald Mckenzie;masculino;boleto
2024-09-13 22:56:32;28;Natal;João Matos;Smartwatch Garmin;Mike Sneed;masculino;cartão de crédito
2024-09-13 23:11:37;29;Belo Horizonte;Fernanda Costa;Monitor LG Ultrawide;Dennis Butler;masculino;pix
2024-09-14 00:47:35;30;São Paulo;Lucas Pereira;Smartwatch Garmin;Robert Mcalpin;masculino;dinheiro
2024-09-14 15:03:30;31;São Luís;Emanuelle Victoria;Smartphone Samsung Galaxy;John Turner;masculino;cartão de crédito
2024-09-14 15:24:37;32;Rio de Janeiro;Pedro Souza;Câmera Canon EOS;Patrick Merritt;masculino;cartão de dédito
2024-09-14 15:46:37;33;Natal;Larissa Ferreira;Mouse Gamer Logitech;Daniel Goldie;masculino;boleto
2024-09-14 16:09:34;34;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Cora Liddell;feminino;pix
2024-09-14 18:30:35;35;Recife;Ricardo Mendes;Fone de Ouvido Sony;Adam Bernardy;masculino;cartão de crédito
2024-09-14 19:41:35;36;Recife;Patrícia Carvalho;iPhone 13;Dennis Mendoza;masculino;cartão de crédito
2024-09-14 22:00:34;37;Fortaleza;Beatriz Rocha;Teclado Mecânico HyperX;Linda Huang;feminino;dinheiro
2024-09-15 00:43:40;38;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Brian Denison;masculino;boleto
2024-09-15 14:14:39;39;Recife;Patrícia Carvalho;Monitor LG Ultrawide;David Wilson;masculino;cartão de dédito
2024-09-15 14:20:34;40;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Carmen Allen;feminino;cartão de dédito
2024-09-15 15:36:38;41;Natal;Larissa Ferreira;Mouse Gamer Logitech;Doreen Fischl;feminino;dinheiro
2024-09-15 15:38:41;42;Recife;Ricardo Mendes;Fone de Ouvido Sony;Florence Jones;feminino;dinheiro
2024-09-15 17:35:39;43;Natal;Larissa Ferreira;Mouse Gamer Logitech;Irma Wider;feminino;cartão de crédito
2024-09-15 18:41:32;44;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;William Wilson;masculino;cartão de dédito
2024-09-15 21:20:31;45;São Paulo;Ana Oliveira;iPhone 13;Robert Edwards;masculino;cartão de dédito
2024-09-15 21:44:35;46;São Luís;Brenno Pacheco;Tablet Apple Ipad;Tyrone Stones;masculino;cartão de dédito
2024-09-15 22:21:39;47;Fortaleza;André Lima;Mouse Gamer Logitech;John Arbuckle;masculino;dinheiro
2024-09-16 00:39:34;48;Rio de Janeiro;Pedro Souza;Monitor LG Ultrawide;Alice Zimmer;feminino;cartão de dédito
2024-09-16 14:24:30;49;Natal;João Matos;Mouse Gamer Logitech;Katherine Gruis;feminino;pix
2024-09-16 15:06:34;50;São Luís;Emanuelle Victoria;Smartphone Samsung Galaxy;Dolores Crabtree;feminino;boleto
2024-09-16 17:20:35;51;Natal;João Matos;Câmera Canon EOS;Jose Sheppard;masculino;cartão de dédito
2024-09-16 19:28:40;52;Fortaleza;André Lima;Notebook Dell Inspiron;Janine Lamb;feminino;pix
2024-09-16 23:16:34;53;Rio de Janeiro;Pedro Souza;Monitor LG Ultrawide;Thomas Dworkin;masculino;boleto
2024-09-16 23:44:37;54;Florianópolis;Tiago Lima;Mouse Gamer Logitech;Florencio Fall;masculino;pix
2024-09-16 23:47:34;55;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Randy Mccoy;masculino;cartão de crédito
2024-09-17 00:16:38;56;Rio de Janeiro;Juliana Almeida;Mouse Gamer Logitech;William Drew;masculino;cartão de dédito
2024-09-17 00:36:33;57;Rio de Janeiro;Juliana Almeida;Câmera Canon EOS;Maria Fulton;feminino;cartão de dédito
2024-09-17 01:01:36;58;Natal;Larissa Ferreira;Câmera Canon EOS;Jeremy Stupka;masculino;cartão de dédito
2024-09-17 01:08:35;59;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Jon Cooley;masculino;pix
2024-09-17 15:03:31;60;Recife;Ricardo Mendes;Teclado Mecânico HyperX;Delma Best;feminino;cartão de crédito
2024-09-17 15:17:38;61;São Paulo;Ana Oliveira;Teclado Mecânico HyperX;Donald Byers;masculino;dinheiro
2024-09-17 16:51:32;62;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Martha Mccartney;feminino;dinheiro
2024-09-17 17:55:33;63;Fortaleza;Beatriz Rocha;iPhone 13;Nathaniel Forrest;masculino;cartão de crédito
2024-09-17 18:42:31;64;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Amanda Otwell;feminino;dinheiro
2024-09-17 21:42:32;65;São Luís;Brenno Pacheco;Smartwatch Garmin;Greg Chandler;masculino;cartão de dédito
2024-09-17 23:07:35;66;São Paulo;Lucas Pereira;Teclado Mecânico HyperX;Edna Oglesby;feminino;pix
2024-09-17 23:45:41;67;São Paulo;Ana Oliveira;Mouse Gamer Logitech;Maurice Wilusz;masculino;cartão de dédito
2024-09-17 23:58:33;68;Fortaleza;André Lima;Smartwatch Garmin;Louis Lomas;masculino;dinheiro
2024-09-18 14:51:35;69;Natal;João Matos;Smartphone Samsung Galaxy;Irene Hicks;feminino;cartão de dédito
2024-09-18 15:32:32;70;Fortaleza;Beatriz Rocha;Fone de Ouvido Sony;Lonnie Bosak;masculino;pix
2024-09-18 15:45:37;71;Natal;Larissa Ferreira;Smartwatch Garmin;Gerry Price;masculino;cartão de crédito
2024-09-18 15:51:37;72;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;William Moore;masculino;cartão de dédito
2024-09-18 17:19:39;73;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Betty Langlois;feminino;pix
2024-09-18 17:20:31;74;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Margaret Reaves;feminino;boleto
2024-09-18 18:08:34;75;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Donald Valenzula;masculino;cartão de dédito
2024-09-18 18:36:35;76;Natal;Larissa Ferreira;Notebook Dell Inspiron;Marie Davis;feminino;dinheiro
2024-09-18 19:16:30;77;Fortaleza;André Lima;iPhone 13;Eleanor Lai;feminino;cartão de crédito
2024-09-18 21:15:31;78;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Dorothy Mueller;feminino;cartão de crédito
2024-09-18 23:33:39;79;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Amanda Swihart;feminino;pix
2024-09-19 00:38:32;80;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Marc Shindorf;masculino;cartão de crédito
2024-09-19 14:33:34;81;São Paulo;Lucas Pereira;iPhone 13;Eddie Bailey;masculino;cartão de dédito
2024-09-19 14:54:40;82;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Katrina Baptiste;feminino;cartão de dédito
2024-09-19 16:01:32;83;São Luís;Brenno Pacheco;Notebook Dell Inspiron;Henry Sanchez;masculino;cartão de dédito
2024-09-19 16:44:40;84;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Raymond Schoberg;masculino;pix
2024-09-19 17:05:34;85;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Luis Johnson;masculino;dinheiro
2024-09-19 17:23:34;86;Recife;Patrícia Carvalho;Teclado Mecânico HyperX;Robert Crowe;masculino;boleto
2024-09-19 17:32:35;87;São Paulo;Lucas Pereira;Câmera Canon EOS;Lessie Lenior;feminino;boleto
2024-09-19 17:49:41;88;Porto Alegre;Mariana Gomes;Teclado Mecânico HyperX;Debra Darden;feminino;cartão de crédito
2024-09-19 19:30:34;89;Porto Alegre;Mariana Gomes;Monitor LG Ultrawide;Roger Brewer;masculino;dinheiro
2024-09-19 20:35:41;90;Rio de Janeiro;Juliana Almeida;Teclado Mecânico HyperX;Robert Brown;masculino;dinheiro
2024-09-19 20:39:39;91;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Dwayne Hinerman;masculino;cartão de crédito
2024-09-19 21:31:34;92;Rio de Janeiro;Juliana Almeida;Mouse Gamer Logitech;James Bell;masculino;cartão de crédito
2024-09-19 21:42:38;93;São Luís;Emanuelle Victoria;Smartwatch Garmin;Michelle Hamilton;feminino;dinheiro
2024-09-19 22:26:38;94;Natal;Larissa Ferreira;Fone de Ouvido Sony;Phillip Charles;masculino;boleto
2024-09-19 22:41:35;95;Fortaleza;André Lima;Tablet Apple Ipad;Jimmy Azbill;masculino;dinheiro
2024-09-19 23:19:31;96;Florianópolis;Gabriela Santos;iPhone 13;Lisa Kunert;feminino;boleto
2024-09-20 00:16:40;97;Recife;Ricardo Mendes;iPhone 13;Tamera Mccain;feminino;cartão de crédito
2024-09-20 14:53:36;98;São Paulo;Lucas Pereira;Câmera Canon EOS;Juan Jones;masculino;cartão de dédito
2024-09-20 16:24:34;99;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Gladys Metzler;feminino;cartão de crédito
2024-09-20 17:12:40;100;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Adam Foster;masculino;cartão de crédito
2024-09-20 19:13:36;101;Fortaleza;Beatriz Rocha;Mouse Gamer Logitech;Kathleen Vogelpohl;feminino;dinheiro
2024-09-20 19:28:31;102;Natal;João Matos;Notebook Dell Inspiron;Kris Gaines;feminino;boleto
2024-09-20 20:35:38;103;Belo Horizonte;Fernanda Costa;Câmera Canon EOS;Arthur Weller;masculino;dinheiro
2024-09-20 21:42:30;104;Recife;Patrícia Carvalho;Câmera Canon EOS;Gwen Shelton;feminino;cartão de dédito
2024-09-20 21:50:38;105;Natal;Larissa Ferreira;Teclado Mecânico HyperX;Gregory Barton;masculino;cartão de dédito
2024-09-20 22:59:30;106;Rio de Janeiro;Juliana Almeida;Mouse Gamer Logitech;Leo Harvey;masculino;dinheiro
2024-09-20 23:08:38;107;Rio de Janeiro;Juliana Almeida;Monitor LG Ultrawide;Tracy Hanson;feminino;boleto
2024-09-21 14:17:36;108;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Sidney Segura;masculino;pix
2024-09-21 14:26:31;109;Rio de Janeiro;Juliana Almeida;Tablet Apple Ipad;Cecil Jenson;masculino;cartão de dédito
2024-09-21 15:59:30;110;Natal;João Matos;Tablet Apple Ipad;Amy Culbertson;feminino;pix
2024-09-21 16:40:31;111;Fortaleza;Beatriz Rocha;Câmera Canon EOS;William Cortez;masculino;pix
2024-09-21 18:27:32;112;Natal;Larissa Ferreira;Tablet Apple Ipad;Dorothy Truax;feminino;dinheiro
2024-09-21 20:22:38;113;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Jason Bejarano;masculino;dinheiro
2024-09-21 20:44:32;114;Rio de Janeiro;Juliana Almeida;Teclado Mecânico HyperX;Felicita Bogan;feminino;boleto
2024-09-21 20:49:33;115;Belo Horizonte;Fernanda Costa;Mouse Gamer Logitech;Ryan Urbanek;masculino;pix
2024-09-21 22:06:30;116;Fortaleza;Beatriz Rocha;Notebook Dell Inspiron;Richard Tucker;masculino;cartão de crédito
2024-09-21 22:08:33;117;Florianópolis;Gabriela Santos;Mouse Gamer Logitech;Mary Drury;feminino;pix
2024-09-21 23:04:31;118;Recife;Ricardo Mendes;Smartwatch Garmin;Tina Ganser;feminino;boleto
2024-09-22 00:08:35;119;Fortaleza;Beatriz Rocha;Fone de Ouvido Sony;Vicky Pacheco;feminino;boleto
2024-09-22 00:48:36;120;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Joyce Barger;feminino;pix
2024-09-22 14:15:33;121;Florianópolis;Tiago Lima;iPhone 13;Gregory Swearingen;masculino;boleto
2024-09-22 15:05:40;122;São Paulo;Lucas Pereira;Tablet Apple Ipad;Michael Alex;masculino;cartão de crédito
2024-09-22 16:20:32;123;São Paulo;Lucas Pereira;Câmera Canon EOS;Erin Ross;feminino;cartão de crédito
2024-09-22 16:41:34;124;Natal;João Matos;Fone de Ouvido Sony;Rosa Carrasquillo;feminino;cartão de crédito
2024-09-22 17:00:34;125;São Paulo;Ana Oliveira;iPhone 13;Rhonda Mccrea;feminino;cartão de dédito
2024-09-22 17:14:38;126;Recife;Ricardo Mendes;iPhone 13;Barbara Wimberly;feminino;dinheiro
2024-09-22 20:26:30;127;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Helen Young;feminino;pix
2024-09-22 23:39:38;128;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Melvin Weatherspoon;masculino;cartão de crédito
2024-09-23 00:34:33;129;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Rosa Smith;feminino;cartão de crédito
2024-09-23 14:46:33;130;São Luís;Emanuelle Victoria;Smartwatch Garmin;Wendy Cruz;feminino;dinheiro
2024-09-23 15:14:32;131;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Earnest Mason;masculino;cartão de crédito
2024-09-23 15:16:34;132;Fortaleza;Beatriz Rocha;Notebook Dell Inspiron;Patricia Danford;feminino;cartão de dédito
2024-09-23 15:43:32;133;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Cliff Carson;masculino;boleto
2024-09-23 15:56:39;134;Belo Horizonte;Fernanda Costa;Mouse Gamer Logitech;Donald Hudson;masculino;cartão de crédito
2024-09-23 17:39:33;135;Belo Horizonte;Fernanda Costa;Câmera Canon EOS;Philip Hanauer;masculino;dinheiro
2024-09-23 18:11:40;136;Porto Alegre;Mariana Gomes;Câmera Canon EOS;Leanna Walker;feminino;pix
2024-09-23 19:12:39;137;Recife;Ricardo Mendes;Smartphone Samsung Galaxy;David Irving;masculino;dinheiro
2024-09-23 19:31:31;138;Florianópolis;Tiago Lima;Câmera Canon EOS;Joyce Cucuzza;feminino;cartão de dédito
2024-09-23 20:04:36;139;São Luís;Brenno Pacheco;Smartwatch Garmin;Barney Hunter;masculino;dinheiro
2024-09-23 20:44:38;140;Recife;Ricardo Mendes;Tablet Apple Ipad;Venus Gutierrez;feminino;dinheiro
2024-09-23 22:08:34;141;Porto Alegre;Roberto Ferreira;Mouse Gamer Logitech;Richard Shore;masculino;cartão de dédito
2024-09-24 00:34:33;142;Rio de Janeiro;Juliana Almeida;Monitor LG Ultrawide;Estella Pond;feminino;cartão de crédito
2024-09-24 01:05:31;143;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Eric Sisco;masculino;boleto
2024-09-24 15:47:33;144;Recife;Ricardo Mendes;Notebook Dell Inspiron;Jeannette Reyes;feminino;boleto
2024-09-24 16:45:34;145;Fortaleza;Beatriz Rocha;Tablet Apple Ipad;Deanna Holt;feminino;cartão de crédito
2024-09-24 16:56:37;146;Recife;Patrícia Carvalho;Fone de Ouvido Sony;Martha Ward;feminino;boleto
2024-09-24 18:27:38;147;Natal;João Matos;Smartwatch Garmin;Dwayne Robb;masculino;boleto
2024-09-24 18:28:33;148;Fortaleza;Beatriz Rocha;Fone de Ouvido Sony;Mary Weissman;feminino;dinheiro
2024-09-24 19:07:34;149;Porto Alegre;Mariana Gomes;Mouse Gamer Logitech;Mark Withrow;masculino;dinheiro
2024-09-24 20:58:33;150;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Kathy Barredo;feminino;pix
2024-09-24 21:56:41;151;Recife;Patrícia Carvalho;iPhone 13;Jorge Guzman;masculino;pix
2024-09-24 22:21:34;152;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Jack Breheny;masculino;boleto
2024-09-24 22:56:39;153;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Hans Goldman;masculino;cartão de crédito
2024-09-25 00:35:36;154;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Colleen Reed;feminino;pix
2024-09-25 14:12:35;155;Belo Horizonte;Carlos Silva;Câmera Canon EOS;Joshua Mercer;masculino;boleto
2024-09-25 14:21:37;156;Recife;Ricardo Mendes;Teclado Mecânico HyperX;Polly Kim;feminino;cartão de crédito
2024-09-25 14:38:30;157;São Paulo;Ana Oliveira;iPhone 13;Clifton Smith;masculino;dinheiro
2024-09-25 15:10:34;158;Porto Alegre;Mariana Gomes;Mouse Gamer Logitech;Theresia Ring;feminino;cartão de crédito
2024-09-25 15:17:34;159;São Luís;Emanuelle Victoria;Teclado Mecânico HyperX;Jerry Miller;masculino;pix
2024-09-25 16:11:36;160;Florianópolis;Tiago Lima;Tablet Apple Ipad;Pamela Connors;feminino;cartão de dédito
2024-09-25 18:04:31;161;Fortaleza;Beatriz Rocha;Mouse Gamer Logitech;Ana Mosley;feminino;cartão de dédito
2024-09-25 18:23:30;162;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Joseph Copeland;masculino;pix
2024-09-25 18:38:32;163;Natal;Larissa Ferreira;Fone de Ouvido Sony;Patricia Sechrest;feminino;cartão de dédito
2024-09-25 19:18:32;164;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Randall Hunt;masculino;cartão de crédito
2024-09-25 19:30:31;165;Rio de Janeiro;Juliana Almeida;iPhone 13;Lyle Lane;masculino;cartão de crédito
2024-09-25 22:05:33;166;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Inez Jahr;feminino;dinheiro
2024-09-26 00:30:32;167;Fortaleza;André Lima;Smartphone Samsung Galaxy;Joel Brazil;masculino;boleto
2024-09-26 00:47:39;168;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Jeffrey Ervin;masculino;dinheiro
2024-09-26 14:09:39;169;São Luís;Emanuelle Victoria;Smartwatch Garmin;Jacqueline Huston;feminino;dinheiro
2024-09-26 14:36:39;170;Florianópolis;Gabriela Santos;Mouse Gamer Logitech;Francisco Nightingale;masculino;pix
2024-09-26 14:38:31;171;Fortaleza;Beatriz Rocha;Smartwatch Garmin;Catheryn Knight;feminino;cartão de dédito
2024-09-26 14:42:38;172;Belo Horizonte;Carlos Silva;Mouse Gamer Logitech;Rachel Sarvas;feminino;cartão de crédito
2024-09-26 20:50:34;173;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Corinne Ornelas;feminino;cartão de crédito
2024-09-26 23:30:36;174;Belo Horizonte;Carlos Silva;Teclado Mecânico HyperX;Philip Olivarez;masculino;dinheiro
2024-09-27 15:14:36;175;São Paulo;Lucas Pereira;iPhone 13;Rose Vasquez;feminino;cartão de crédito
2024-09-27 16:20:33;176;Belo Horizonte;Fernanda Costa;iPhone 13;Joshua Hiers;masculino;dinheiro
2024-09-27 16:23:40;177;Fortaleza;André Lima;Fone de Ouvido Sony;Justin Bradley;masculino;boleto
2024-09-27 17:12:32;178;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Ben Mora;masculino;dinheiro
2024-09-27 18:20:37;179;São Paulo;Ana Oliveira;iPhone 13;Carlos Larue;masculino;cartão de dédito
2024-09-27 19:18:40;180;São Luís;Emanuelle Victoria;Smartphone Samsung Galaxy;Kathleen Rudolph;feminino;cartão de crédito
2024-09-27 22:43:30;181;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Rebecca Takahashi;feminino;dinheiro
2024-09-28 14:34:38;182;Florianópolis;Tiago Lima;Câmera Canon EOS;Larry Jackson;masculino;dinheiro
2024-09-28 15:05:37;183;Recife;Patrícia Carvalho;Teclado Mecânico HyperX;Robert Gambrell;masculino;boleto
2024-09-28 15:22:33;184;Rio de Janeiro;Pedro Souza;Mouse Gamer Logitech;Dennis Commodore;masculino;dinheiro
2024-09-28 17:31:30;185;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Barbara Karter;feminino;cartão de crédito
2024-09-28 18:35:33;186;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Shirley Robertson;feminino;pix
2024-09-28 19:25:32;187;São Paulo;Lucas Pereira;Teclado Mecânico HyperX;Cynthia Shady;feminino;boleto
2024-09-28 19:42:36;188;São Paulo;Lucas Pereira;Mouse Gamer Logitech;Erin Fatica;feminino;boleto
2024-09-28 21:06:38;189;Natal;João Matos;iPhone 13;Katrina Cox;feminino;cartão de crédito
2024-09-29 00:26:35;190;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Mark Cook;masculino;dinheiro
2024-09-29 14:11:30;191;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Natalie Yi;feminino;cartão de crédito
2024-09-29 17:17:34;192;Belo Horizonte;Carlos Silva;Mouse Gamer Logitech;Elliot Burkhart;masculino;cartão de crédito
2024-09-29 17:56:38;193;Recife;Ricardo Mendes;Notebook Dell Inspiron;Gregory Gates;masculino;cartão de dédito
2024-09-29 18:01:38;194;Natal;Larissa Ferreira;Teclado Mecânico HyperX;Patrica Smith;feminino;dinheiro
2024-09-29 18:09:32;195;Natal;João Matos;Notebook Dell Inspiron;Shirley Desmith;feminino;cartão de dédito
2024-09-29 18:12:35;196;Florianópolis;Gabriela Santos;iPhone 13;Joanna Washington;feminino;pix
2024-09-29 18:48:37;197;Recife;Patrícia Carvalho;Smartwatch Garmin;Susan Massey;feminino;cartão de dédito
2024-09-29 18:48:39;198;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Suzanne Brady;feminino;pix
2024-09-29 19:48:33;199;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Gilbert Cuevas;masculino;pix
2024-09-29 21:37:37;200;Rio de Janeiro;Juliana Almeida;Mouse Gamer Logitech;Joseph Miller;masculino;cartão de dédito
2024-09-30 00:37:35;201;Porto Alegre;Roberto Ferreira;Monitor LG Ultrawide;Jerry George;masculino;boleto
2024-09-30 14:30:31;202;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Rhonda Spohr;feminino;pix
2024-09-30 15:27:39;203;Porto Alegre;Mariana Gomes;Monitor LG Ultrawide;Raymond Beasley;masculino;cartão de crédito
2024-09-30 16:19:32;204;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Roxanne Poindexter;feminino;cartão de dédito
2024-09-30 17:31:37;205;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Edward Chadwick;masculino;boleto
2024-09-30 17:52:35;206;São Luís;Brenno Pacheco;Teclado Mecânico HyperX;James Grappe;masculino;dinheiro
2024-09-30 18:36:30;207;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Wayne Jimenez;masculino;boleto
2024-09-30 19:03:30;208;Rio de Janeiro;Juliana Almeida;Teclado Mecânico HyperX;Terry Kofford;feminino;cartão de dédito
2024-09-30 19:50:32;209;São Luís;Emanuelle Victoria;Monitor LG Ultrawide;Paul Robertson;masculino;pix
2024-09-30 21:04:31;210;Porto Alegre;Roberto Ferreira;Teclado Mecânico HyperX;Jackie Jewell;feminino;dinheiro
2024-09-30 21:19:39;211;Porto Alegre;Mariana Gomes;Câmera Canon EOS;Joshua Craig;masculino;dinheiro
2024-09-30 21:53:30;212;Rio de Janeiro;Juliana Almeida;Teclado Mecânico HyperX;James Schmid;masculino;cartão de dédito
2024-09-30 23:27:33;213;Florianópolis;Tiago Lima;Câmera Canon EOS;Linda Gordon;feminino;dinheiro
2024-09-30 23:35:31;214;Fortaleza;André Lima;iPhone 13;Christopher Mahr;masculino;boleto
2024-10-01 00:20:32;215;Belo Horizonte;Fernanda Costa;iPhone 13;George Edwards;masculino;dinheiro
2024-10-01 00:39:32;216;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Bettye Whitman;feminino;dinheiro
2024-10-01 00:59:33;217;Recife;Ricardo Mendes;Tablet Apple Ipad;John Fish;masculino;cartão de crédito
2024-10-01 14:28:34;218;Rio de Janeiro;Juliana Almeida;iPhone 13;Jack Peterson;masculino;dinheiro
2024-10-01 15:19:41;219;Porto Alegre;Mariana Gomes;Monitor LG Ultrawide;Dean Estes;masculino;boleto
2024-10-01 15:46:33;220;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Daniel Grabowski;masculino;cartão de crédito
2024-10-01 16:04:30;221;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Mary Vaughn;feminino;pix
2024-10-01 18:05:39;222;Natal;Larissa Ferreira;Câmera Canon EOS;Matthew Lowers;masculino;dinheiro
2024-10-01 18:44:34;223;São Luís;Brenno Pacheco;Monitor LG Ultrawide;Antoine Nally;masculino;cartão de dédito
2024-10-01 18:50:32;224;Fortaleza;Beatriz Rocha;Smartwatch Garmin;Ronald Colley;masculino;cartão de crédito
2024-10-01 19:12:33;225;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Nina Fabrizio;feminino;dinheiro
